Church Name,City,State,Country,Phone,Email,Website,Church Admin Title,Church Admin Name,
New City Church Calgary,Calgary,AB,Canada,825-733-1852,office@newcitychurch.ca,www.newcitychurch.ca,Rev,Connan A V,
Woodgreen Presbyterian Church,Calgary,AB,Canada,587-887-1792,office@woodgreenpca.org,www.woodgreenpca.org,Rev,Don Hulsey,
Crestwood Presbyterian Church,Edmonton,AB,Canada,780-452-3020,office@crestwoodpca.ca,www.crestwoodpca.ca,Rev,Jeffrey Kerr,
King's Cross South Edmonton Mission,Edmonton,AB,Canada,-,Church5@soapboxsuperapp.com,-,Rev,Chris Pignatiello,
Amazing Grace Community Church,Lethbridge,AB,Canada,-,office.agccl.pca@gmail.com,www.agccl.org,Rev,Rohan Crown,
Westminster Chapel,Lethbridge,AB,Canada,403-329-1446,admin@westminsterchapelpca.ca,www.westminsterchapelpca.ca,Rev, N Adam Harris,
Anchorage New Life Presbyterian Church,Anchorage,AK,United States ,907-301-7977,pakyongd@gmail.com,www.newlifechurchak.org,Rev,Yong Dok Pak,
Faith Presbyterian Church,Anchorage,AK,United States ,907-345-2011,clerk@faithanchorage.org,www.faithanchorage.org,Rev,Jerid Krulish,
Redeemer Presbyterian Church,Kenai,AK,United States ,907-690-4410,pastor@redeemerak.org,www.redeemerak.org,Rev,James Nathan Boldt,
Evangel Church PCA,Alabaster,AL,United States ,205-664-0889,agoodsell@evangelchurchpca.org,www.evangelchurchpca.org,Rev,David Maginnis,
Grace Fellowship Presbyterian Church,Albertvillle,AL,United States ,256-891-0924,gfpc@gracefellowshippca.com,www.gracefellowshippca.com,Rev,Jackie Dean Gaston Jr,
First Presbyterian Church,Aliceville,AL,United States ,205-373-2133,firstpresbyterianaliceville@gmail.com,www.firstpresaliceville.org,Rev,Derrick Brite,
Evangel Presbyterian Church - Oneonta,Allgood,AL,United States ,205-681-4101,covertops1@mac.com,www.blountpca.org,-,,
Salem Presbyterian Church,Alpine,AL,United States ,-,salemchurchpca@gmail.com,www.salemchurchpca.org,Rev,Michael H Russell,
Faith Presbyterian Church,Anniston,AL,United States ,256-238-8721,faithpcaanniston@gmail.com,www.faithanniston.org,Rev,Grant Carroll,
Grace Covenant Presbyterian Church,Athens,AL,United States ,256-444-2492,pastor@gracecovenantathens.org,www.gracecovenantathens.org,-,,
First Presbyterian Church,Atmore,AL,United States ,251-368-5453,firstpresbyterianatmore@frontiernet.net,www.firstpresbyterianatmore.com,-,,
Christ Presbyterian Church of Auburn,Auburn,AL,United States ,334-209-2556,info@christpresauburn.org,christpresauburn.org,Rev,Eric Byram Zellner,
Covenant Presbyterian Church,Auburn,AL,United States ,334-821-7062,info@cpcauburn.org,www.cpcauburn.org,Rev,Jere Scott Bradshaw,
Se Um Church,Auburn,AL,United States ,734-660-0978,auburn.seum.church@gmail.com,www.seumchurch.org,Rev,John Sang Joon S Kim,
Good Hope Presbyterian Church,Benton,AL,United States ,334-874-7878,speeces03@gmail.com,-,Rev,Lincoln Speece,
Church of the Way,Bessemer,AL,United States ,205-645-5217,pgpres@att.net,www.pleasantgrovepca.org,Rev,Jim Maples,
Altadena Valley Presbyterian Church,Birmingham,AL,United States ,205-967-0680,info@avpc.org,www.avpc.org,Rev,J Kyle Parker,
Briarwood Presbyterian Church,Birmingham,AL,United States ,205-776-5200,info@briarwood.org,briarwood.org,-,,
Cahaba Park Church PCA,Birmingham,AL,United States ,205-870-1886,info@cahabapark.org,www.cahabapark.org,-,,
Covenant Presbyterian Church,Birmingham,AL,United States ,205-871-7002,sloyless@covpres.com,www.covpres.com,Rev,Robert Holt,
Faith Presbyterian Church,Birmingham,AL,United States ,205-991-5430,office@faith-pca.org,www.faith-pca.org,Rev,Jason Sterling,
Harvest Community Church,Birmingham,AL,United States ,205-853-5033,harvestcpc@aol.com,www.harvestcpc.org,Rev,Michael L Jones,
Household of Faith Church,Birmingham,AL,United States ,205-836-5758,hfcpca96@bellsouth.net,www.hfcministries.org,Rev,Larry Cockrell,
Oak Mountain Church,Birmingham,AL,United States ,205-995-9265,info@ompc.org,ompc.org,Rev,Caleb Click,
Red Mountain Church,Birmingham,AL,United States ,205-202-5682,ashley@redmountainchurch.org,www.redmountainchurch.org,Rev,Charles Johnson,
Third Presbyterian Church,Birmingham,AL,United States ,205-322-1404,office@thirdpca.org,www.thirdpca.org,Rev,Michael Brock,
Boligee Presbyterian Church,Boligee,AL,United States ,205-614-2913,Church34@soapboxsuperapp.com,-,Rev,Ronald Moore Smith,
Brent Presbyterian Church,Brent,AL,United States ,205-926-4722,brentpreschurch@bellsouth.net,-,Rev,Mitchell Lee Haubert,
First Presbyterian Church,Brewton,AL,United States ,251-867-5395,office@fpcbrewton.org,www.fpcbrewton.org,Rev,Parker Johnson,
