🔍 FEATURE CHECK DEBUG: href=/communication, key=communication, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/sermon-studio, key=sermon-studio, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/engagement-analytics, key=engagement-analytics, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/admin, key=admin, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/profile, key=profile, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/settings, key=settings, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/, key=, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/messages, key=messages, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/contacts, key=contacts, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/churches, key=churches, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/events, key=events, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/donation, key=donation, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/discussions, key=discussions, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/bible, key=bible, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/prayer-wall, key=prayer-wall, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/leaderboard, key=leaderboard, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/soap, key=soap, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/audio-bible, key=audio-bible, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/audio-routines, key=audio-routines, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/video-library, key=video-library, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/image-gallery, key=image-gallery, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/members, key=members, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/qr-management, key=qr-management, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/donation-analytics, key=donation-analytics, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/communication, key=communication, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/sermon-studio, key=sermon-studio, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/engagement-analytics, key=engagement-analytics, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/admin, key=admin, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/profile, key=profile, user=alan@soapboxsuperapp.com, churchId=2806
Console.js:61 🔍 FEATURE CHECK DEBUG: href=/settings, key=settings, user=alan@soapboxsuperapp.com, churchId=2806
