Category,Permission,Owner,Super Admin,Church Admin,Lead Pastor,Pastor,Minister,Social Manager,Staff,Member,Description
System,System Management,✓,✗,✗,✗,✗,✗,✗,✗,✗,Complete system administration across all churches
System,Multi-Church Control,✓,✗,✗,✗,✗,✗,✗,✗,✗,Manage multiple church organizations
System,Church Portal Management,✓,✓,✓,✗,✗,✗,✗,✗,✗,Configure church-specific settings and branding
User Management,User Management,✓,✓,✓,✗,✗,✗,✗,✗,✗,Add/remove/edit user accounts
User Management,Role Assignment,✓,✓,✓,✗,✗,✗,✗,✗,✗,Assign roles to church members
User Management,Member Directory Access,✓,✓,✓,✓,✓,✓,✗,✗,Limited,View and manage member information
Content,Content Moderation,✓,✓,✓,✓,✗,✗,✗,✗,✗,Review and approve/reject content
Content,Content Creation,✓,✓,✓,✓,✓,✓,✓,Draft Only,Submit for Review,Create various types of content
Content,Content Publishing,✓,✓,✓,✓,✓,✗,✓,✗,✗,Publish content to community
Content,Content Approval,✓,✓,✓,✓,✗,✗,✗,✗,✗,Approve content submitted by others
Spiritual Content,Sermon Creation,✓,✓,✓,✓,✓,✗,✗,✗,✗,Create and publish sermons
Spiritual Content,Devotional Creation,✓,✓,✓,✓,✓,✗,✗,✗,✗,Create daily devotionals and spiritual content
Spiritual Content,Bible Study Materials,✓,✓,✓,✓,✓,✓,✗,✗,✗,Create Bible study guides and materials
Events,Event Management,✓,✓,✓,✓,✓,✓,✗,✗,✗,Manage church events and activities
Events,Event Creation,✓,✓,✓,✓,✓,✓,✗,✗,✗,Create new events and activities
Events,Event Moderation,✓,✓,✓,✓,✓,✗,✗,✗,✗,Review and manage event content
Events,Event Check-in,✓,✓,✓,✓,✓,✓,✓,✓,✓,Check into events and activities
Prayer,Prayer Response,✓,✓,✓,✓,✓,✓,✗,✗,✗,Respond to prayer requests as ministry
Prayer,Prayer Creation,✓,✓,✓,✓,✓,✓,✓,✓,✓,Submit prayer requests
Prayer,Prayer Moderation,✓,✓,✓,✓,✓,✗,✗,✗,✗,Review and manage prayer requests
Communication,Discussion Management,✓,✓,✓,✓,✓,✓,✗,✗,✗,Moderate community discussions
Communication,Social Media Management,✓,✓,✓,✗,✗,✗,✓,✗,✗,Manage church social media presence
Communication,Public Post Creation,✓,✓,✓,✗,✗,✗,✓,✗,✗,Create posts for public social media
Community,Community Interaction,✓,✓,✓,✓,✓,✓,✓,✓,✓,Like and interact with community content
Community,Comment Creation,✓,✓,✓,✓,✓,✓,✓,✓,✓,Comment on posts and discussions
Community,Like/React to Content,✓,✓,✓,✓,✓,✓,✓,✓,✓,React to posts and content
Analytics,Analytics Access,✓,✓,✓,✓,✗,✗,✗,✗,✗,View church analytics and metrics
Analytics,Financial Reports,✓,✓,✓,✗,✗,✗,✗,✗,✗,Access financial and donation reports
Analytics,Attendance Reports,✓,✓,✓,✓,✗,✗,✗,✗,✗,View attendance and engagement metrics
Ministry,Volunteer Management,✓,✓,✓,✓,✓,✓,✗,✗,✗,Manage volunteer programs and schedules
Ministry,Ministry Management,✓,✓,✓,✓,✓,✓,✗,✗,✗,Oversee specific ministry areas
Ministry,Small Group Leadership,✓,✓,✓,✓,✓,✓,✗,✗,✗,Lead and manage small groups
Administration,Settings Management,✓,✓,✓,✗,✗,✗,✗,✗,✗,Configure church settings and preferences
Administration,Backup/Export Data,✓,✓,✓,✗,✗,✗,✗,✗,✗,Export church data and create backups
Administration,Integration Management,✓,✓,✓,✗,✗,✗,✗,✗,✗,Manage third-party integrations
Role Hierarchy,Role Level,1,2,3,4,5,6,7,8,9,Hierarchical order of authority
Role Hierarchy,Church Scope,All Churches,Assigned Churches,Single Church,Single Church,Single Church,Single Church,Single Church,Single Church,Single Church,Scope of church access
Role Hierarchy,Max Role Level Can Assign,9,8,7,6,5,4,3,2,1,Maximum role level this role can assign to others
